,review
1193," has a variety of food options and a variety of dishes.Employees are very cooperative and are a good job that you can feel somewhat wide.But there will be someone to help you go where you need.This busy herb has the most famous railway lines in Japan.The high -speed Shinkansen train makes it easy to move around the country.Around the station, there are everything from traditional Japanese restaurants to modern shopping centers.Sinagawa, with a lively atmosphere and rich cultural experience, is ideal for everyone who wants to make an unforgettable moment in Tokyo.Originally, it would be Tokyo Station, but there will be a lot of office centers in Sinagawa, but there are many office centers in Sinagawa..The hardships are also changing.In the near future, Linear's new role will be opened.The old Ueno, and now Tokyo, and Tokyo will not be through, but I think Sinagawa must be noticed in the future..what?The sparkling of the windshield of the high -rise building is definitely noticeably shining, but there is no professional.in other words..It was not digested.Maybe the hard is too ahead?Do you think that you shouldn't think about it?There is still a Satsujang, so I'm confused.Doesn't the go to work in the morning hard work?In the past, even a person headed for lunch for lunch was crowded, but now there are various stalls lunch shops under the building.Village, Gotenyama falls into Osaki.I can't get tired ♪…/It's a very good atmosphere, and it's a place where you can enjoy it even if you go alone. "
1194,2022/10/13 (Thu).It is easy to do it. 
1195," There is an old atmosphere in the north.N has a lunch shop, a side dish, a convenience store.""I think I'll choose a person to enjoy it. "
1196," There is a place to prohibit access if I go inside, but I think it's enough to enjoy the mood.I think it's a couple, or you can enjoy your family."
1197," I can go to the ears and trains, so I think I can travel really slowly while working, sleeping, drinking, and drinking.N20 years near N20 years before I lived in Shinjuku, I was going to a part -time job at Haneda Airport, and I used Keikyu often.The Keyu wouldn't have been on the terminal yet.It is easy to use as a based position. "
1198," pharmacy, bookstores, and uniqlo, so urgent and necessary are somehow helpful."
1199,"uniqlo and UA are rich in vorto or Haori that are likely to wear underwear, shirts, and work like Naka of Business Youth.Comment from the family's point of view.Is not faithful.Two stars are deducted.There are not many rides in Tokyo Station for souvenirs.However, if you get on and off at the Shinkansen Tokai Island, you can use this frequently at Tokyo Station, which is close to the taxi platform and the distance of the taxi platform.Because there is no souvenir shop in, let's be careful.In the old days, it was significantly improved when I went to Tokyo and went to Ueno to Yamano Te and changed to the end of the home.There are also various shops on the opening premises, so it's a good station.The installation site is in the window of Midori without a big difference in the central pattern.(2023.2)/JR Tokaido Shinkansen, Yamanote Line, Keihin Tohoku Line, Ueno Tokyo Line, Yokosuka Line, "
1200," There is also a bookstore ./ It is a very clean station.To board the high -speed train, you need to buy two types of tickets.I only found out after passing through the door. "
1201," The translation of the ticket machine is not properly translated, so I need to have an ICEX ticket to buy a second ticket.Otherwise, no one can understand this system, so you can not buy it and always head to a full counter.There are a lot of stores in the station.I allowed me to go, but the funny thing is that the inside of the station is so big that I just sent it without going out of the station. I wanted to get it for an hour .. I wanted to get a delicious lunch box.It's only 1,000 yen, but it's really good. How comfortable is it to buy and sit on the train?In the end, I can't find a store ~ This shopping mall is so big. "
1202," Today is Saturday and everyone is holiday, so let's experience the crowded train even if it takes more than 20 stops from Sinagawa to Atami!This is also an experience?/It's hard. "
1203," compared to Corona, the number of foreigners has been significantly reduced.In a sense, it may be a tourist attraction.There is a reverse point.The sign of Hitachi Ho Sendai is carrying the journey./ Because it is compact than Tokyo Station, it is easy to transfer to Shinkansen ⇔ JR. "
1204,"It is congested at any time.There were a lot of tourists, and it was impressive that the station was responding to English.The shop on the premises is also faithful. "
1205,shinagawa station is located in the Office District and on Many Lines Including SHINKANSEN.Always Crowded and Maybe Confusing for Tourists But You Can Find English Speaking Staff and Many Kinds of Shops.The Shinkansen Connection and the staff were very helpful. 
1206," I hope it will recover quickly..♪/There is no place to have a motorcycle in the south, but "
1207,"It is irresponsible of administration and station.It was more convenient because it was Tokyo Ueno Line.I think it's cheap.Access to Haneda Airport or Narita Airport is good, and Sinagawa Station, which has become dramatically convenient in the last 10 years, such as stretching to the Sinagawa Station with Joban Line Express Hitachi and Toki!The most prominent reverse map in the growth ♪/If you buy a souvenir, it is recommended to buy it before entering the Shinkansen ticket gate.There are few shops and crowds after the opening./After leaving the ticket gate, the passage to the hardship is hard to walk anyway.It's good. "
1208," There is no prospect to improve at the personal level, so I hope the station will be managed..The station itself has a shopping area.There is a stall where you can buy Omiyage, where you can eat.At the time of transfer, we were selling Kyushu products.The station is large and there are two entrance/outlet gates.Find a sign that will help you to go.It's a busy station, but I can manage./I feel like I'm constructing the construction of the linear motor car.Land development is in progress to Takana and Gateway Station?/The station itself has made a deep impression on me for the rest of my life.We arrived in Narita in the evening and picked up by bus at the airport.And in the morning, we had to test public transportation directly in the capital of Japan.What I saw here is that huge passenger transport hubs, so many people are in a hurry for business.But these work is not confused.Employees work smoothly.I was surprised by the frequency of the train.The taxi that arrives at the terminal does not cause congestion.Beautiful and functional railway vehicle.In short, the perfect cleanliness, not the Moscow.The Shinkansen of various destinations will come quickly. "
1209," There are abundant souvenir shops, and the sweets of returning home are roughly purchased in Sinagawa?There are many lunches that can be eaten, so there are many gifts. "
1210," At least it would be nice to be able to get a ticket at the station of the Yamanote Line./ It's easy to go to Haneda Airport.It is convenient to transfer to the small line.A lot of shops?sun.Pigeon Sabrew was also sold.There is a merit that can be reached without a transfer from the Shinkansen, as well as the Keiku, Dogi Asakusa Line, and the Keise Line to Narita.Only one section is used. "
1211, \N All cars were free seats. 
1212, may have been surprisingly many people. 
1213, was a very kind and good person.It is convenient for shopping because there are various shops./?by Siemens 
1214, has a useful security locker. 
1215,"If you go to the station because you don't know it, you don't want to see the woman's reverse, 'Line 1!'/If you transfer to Tokaido Shinkansen from Sobu Film Line, it is more convenient to transfer to Tokyo Station.Sobu Freight Line Home is the opposite of the Shinkansen Home in the direction of Marunochi, so it takes time to transfer.In particular, the first person feels uncomfortable and anxiety while watching the sign.The Sinagawa station is a speedy because the Shinkansen Home is the next home in the horizon.In Ekinaka, you can buy pigeons with Kamakura.Next to York Mock.From this side, the Keikyu line is connected to the ticket gate on the JR, so it can be used without going out.In addition, the Keuyu beneficial table, such as tuna tickets, has a Keikyu window on the JR side, so you can buy it there.The attention is different from the Yokohama Misaki Kitichi platform, which comes from Haneda Airport, Izumida Kemiah Yokohama Misaki Kitichi, Keisei Aoto Station, and each station stop.If you have a long seat, the Izumi Take Jige train is more likely to be not a long seat.This is the location of the second door car, which was changed at once at the station of the JR, and in the old days, the 7-10 lines were performing at the time of the temporary home at the time, and the Tokai Line was Rushi Sinagawa Station.The vehicle has been carried out, or there is no station in the Shinkansen, and the history is connected in the underground passage, or it is now the main station of the Shinkansen, and as the arrival area of the Joban Line, the rumor is also called Tokyo Metro Line.The station was the large number of Tokaido Line, and until the diagram was revised, there were four weeks of the day (1 special rapid, one fast, and two expresses), but after the diamond amendment, five mashes (3 rapids, 3 rapids, express expresses)Two), the Utsunomiya and Takasaki Line have a total of six convenience, and there are also ordinary trains of Shinagawa arrival as mainstream, as well as the Keikyu Line and Asakusa Line direct trains.Facility "
1216," The name of the beginner was a translator app that could not be revealed.Crocodile Easas ??????/The commuter rush time is a lot of people, and it is hard to walk.If the number of elevated passengers is expected to increase in the future, I think it is good to be a great masterpiece.The location is changing, so the groove of the train is difficult to use.It is not guided. "
1217, Is religion or animal support organizations permits and raises? 
1218,"'s hardships have a near future ???You can relax because you respond kindly.There are many restaurants in the ticket gate, so this is a place where you can be satisfied with it.Central mouth, luggage temporary storage near Yamanote Line platform.I first saw it, when I passed by Sunday, the storage was full of luggage, "
1219," was suspended.It seems to be fixed.There is a picture./The transfer in the Shinkansen is easier than Tokyo Station./One of the biggest stations at this point, the train and subway were excellent and I came from Argentina.They gave us what we wanted in the subway at the best place in Japan.There are many shops and restaurants in the station, so they are faithful.If you are transferred to the Shinkansen, you must pass two tickets.Because I go to the ticket gate and there are Starbucks and bench seats. e is a lot of shops and restAurants and itsVery Convenient. I Think The Station is also convenient for transit. It is easy to go to Haneda Airport.I think that the station is also clean. ”, Because of the delay of the JR Line, the final Shinkansen arrived and more than the IC card was not passed due to the problem of IC cards."
1220,1.2 was really surviving because I was so alive. 
1221, I couldn't say thank you because I was nervous.I was happy to do it. 
1222, Thank you.
1223," can do a lot of shops inside, so it's great for the previous Sinagawa Station!/It's a base for transfer.Considering the distance from the house, Tokyo Station is close, but I like the convenience of the transfer of the train, so I like it because it is easy to know and smoothly transfers by Sinagawa Station.It's about "
1224," \It doesn't look like a feeling…I think it's very important that the toilet is clean, so please ask me.So many people use it.Keikyu was also impressed by many foreigners to go to Haneda Airport.However, in the Shinkansen Sinagawa Station, foreigners ran to the Shinkansen, so I was sorry that the manners were bad.So I want to keep the manners in the station or in the car regardless of foreigners and Japanese.Please give me, but it's simpler and not crowded than Tokyo Station, but it's easy to access the JR and other subway lines.Perhaps this is the best station to transfer when you go from Osaka/Kyoto to Tokyo.It seems to be clean and tidy compared to other stations.The messy groove is an old days, but I expect it to be a clean groove of the home door someday.Like a labyrinth ?? "
1225," includes a number of shops, restaurants and facilities for travelers ??????The history of Takanawa Guchi remains strong, but after the opening of Linear's business or Keikyu's reverse improvement work, I think I will feel a dramatic transformation.It is.It's a reverse buckwheat.I bought a souvenir from Euttinagawa and came back.Souvenirs are also easy to buy.There was a sword of swords.n "
1226," Incafection Station/This is also a large, nice and clean station.Many lines, including the Shinkansen, pass this station.The guards were polite and helpful when they needed to help get the Shinkansen ticket.JR Yamanote Line is divided into Osaki Station.However, please note that the number of toilets is absolutely lacking.The transfer is relatively used in Sinbashi, so it is relatively used. "
1227,"In addition, there are many reverse Naka stores in the central passage.One of the terminal stations representing Tokyo, which is transferred to Keikyu, JR Yamanote Line, Kei Hin Toku Line, Ueno Tokyo Line, Yokosuka Line, and Tokaido Shinkansen.There are also shopping facilities and restaurants, such as almost directly connected, and you may want to buy a meal or drink taken in souvenirs such as returning homes, such as returning, and other souvenirs such as Shinkansen., It takes about 5 minutes by moving from each of the opening to the opening, so it is preferable to have time to have time.The exit side has a prince hotel and related commercial facilities.You can go to Ginza or Shibuya, about 5 km away from this station.On the other hand, the previous and grooves are changing, making it seem to make a mistake at the time of transfer.After the death of Corona, it is not approaching, but it is the station of the city that is previously returned.Is there a relatively pre -facial expression near Keikyu?There is a delicious shop next to you, but there are some buckwheat shops you are standing, so if you don't know where you are ??Introducing the convenient and comfortable points of the Sinagawa Station.Tokaido Shinkansen (Tokyo-Sinosaka), Kei Hin Tahoku and Negi Si Sun (Omiya-afternoon), Tokaido Main Line (Tokyo-Atami)Many routes such as Express (afternoon-Narita), Narita Express (Omiya (Saitama) -inagawa) are crossed, so you can easily access them in excellent transportation environments.There is ATRE Sinagawa on the station, so you can enjoy shopping.There are so many parks in Sinagawa -gu, so there are many colored parks and prices of relaxation.It is equipped with support for parenting and educational support that is faithful to educational institutions."
1228,"This station is also crowded and the forward crossing is also congested.Traffic is inconvenient/The station is located in the south of the Sinagawa station.The entrance is one of Daiichi Kein Kawa.Home doors are also not installed, but they usually stop outside the train, but they are rarely tasted from the platform made along the moderate curved track.Unlike the Sinagawa Station next to the north, which is crowded with a number of elevators, the elevator is rare, but one of the impressive stations at Keikyu Sun Station./ It is a frequent material in the Sinagawa Station.N Here, `` Shinagawa '' refers to the Scuba of Tokaido, and is in the northern part of Sinagawa's accommodation.It's a small station, so only the regular train stops!Because N grooves are narrow, if you are shooting, be careful.Simple station premises.You can leave the ticket gate and cross the other road.In addition, it is about 10 minutes to walk from Takana and Gucci from Sinagawa Station.Should I take this landscape according to the Work Stainless Cha Ura Work and Express?My stomach hurts all night.The next day I had to work in Sinagawa.On the train, I felt like a market would burst.The toilet of Sinagawa Station was the grace of my salvation.Clean and well -managed toilets are equipped with bidets.Praise the Lord Bidet/The Kita Sinagawa Station, located in front of Sinagawa Station, has the Yatsuyama Bridge along the streets of Tokaido.The ticket gate is only one of the uphill (sinagawa). There is no escalator and there is an elevator and a staircase.It passes through the stomach, along with Daiichi Kehin, the bus route is only 6:00 to 19:00 by Sinagawa Station ⇔ Camata Station, and the number is less than the time.The runner of the Hakone Station Exhibition passes through the station/1904 opening, the ground station of the Keikyu finals.Now there is a ticket gate outside the west, but it seems to be a terminal station at the time.I hope you do your best.There is a station that curves slowly in a slow curve, and the staggering is only fast.station.Comprehensive ride between Keikyu Line and Doden.Usually only trains stop now.The mall and the company must cross the west crossing of the station and wait for a long crossing in the morning and evening.Because it is pulled out, it may take quite a while to ride in the Kamata Kamata.It is also a place where you can enjoy acceleration and a trip to Keikyu at once.The bad thing of writing is not the cause.Since the relative home is the structure, it is necessary to use the sidewalk bridge in the station on the grooves of Kamata, Kawasaki, and Yokohama.When using the station in the east of the Kita Sinagawa Station, there is no ticket gate in the grooves of Kamata, Kawasaki, and Yokohama, as described above, so pass through the crosswords and pass through the ticket gate, passing through the ticket gate.You need to go home.It may be bothersome alone, but it is a crossing to make users the most annoying.Due to the relationship with the Sinagawa station, the train of the Keiku Line is definitely passed, and once the bar of the crossing, it may not open for a few minutes.There is no other press or underpass that will be replaced by the crossing.Therefore, a person who visits the restaurant on the east side of Kitashi Nagawa Station may think that it is efficient to walk to Sinagawa Station. "
1229,"You can't ride a dog (two in the worst case), and it will grow to the eye of waiting for a crossing.It may be good to use the Kitashi Nagawa Station border to take a leisurely walk, but I want to have enough time to use it when I use it.At the start of the point of the point.It seems to be named after Kitashi Nagawa.It was a good atmosphere. "
1230," I want to walk the street in a rough look.If you walk for 5 minutes from the Sinagawa Station next to you, you are close enough to arrive.It is also the closest station of the Yatsuyama Bashi crossing. "
1231," accessible melody flows when the train stops.This is good because of this, and the Sinagawa station is different (I don't say it's wrong).In addition, Sinagawa Station is located in Minato -gu. "
1232," because it is close to Sinagawa Station and only stops the usual (each station), it is not used without a warrior around the station.`` Other Sinagawa ''.And it is amazing that Sinagawa Station is outside Sinagawa.(I devote that for that background) "
1233," is expected to be expensive, so I want to expect it.It is in the Kitashi Nagawa.There is a station. "
1234," However, there is a construction of the terrestrial to the first floor of the sinagawa station, so it will be expensive for the grooves of Kitashi Nagawa Station.The Sinagawa Station is located in the south of Sinagawa Station.This is because it is in this Minatogu.The place where Kitashi Nagawa Station is at the north end of Sinagawa is inevitable.If you want to strict time with counseling, it may be better to walk from Sinagawa Station.If you look at it, it will be ""north"".A station that can be used for a walk near Koten Yama./ Walking from Sinagawa Station in the Great Terminal Station./ The train usually stops, so if you miss one, you will get more than 10 minutes.It's hard to go up and down the stairs (but the elevator is also installed, but the transfer of the elevator is also annoying) "
1235," And when the crossing is long, it is easy to miss the train, so it is easy to miss the train.However, I think it doesn't cost to make a look at the groove that goes down.There are a lot of people crossing without waiting. "
1236,"WC is always clean and clean.Since you can wait for 10 minutes, the only person who crosses the crossing to the ticket gate is only the only way to rise, and it is difficult to understand because it is small.I would like to release it more or more.Since there is an elevator, it is fine in wheelchairs in the way down.The groove is narrow."
1237," If you can enjoy the inconvenience, I don't know if it is a senior/why, but if you are in this station, it will be very nostalgic.It is very close to the Sinagawa Station, but the perfume of Kitashi Nagawa has a lot of perfume.Convenient for the old Tokaido's access to the shopping street.It is fun to walk around the bra to the vicinity of Samus.Gentleman, gourmet, antique shopping.The station is small: usually does not stop except the train.Sinagawa Women's Academy is convenient and high school girl's report.It is in the middle of the Sinagawa station and stops outside the station stop, but there is a certain demand./Hassan crossing "
1238,"This is Kei Hin Express Sinbaba Station.This is a station that usually stops only (each station stop).The stationary statement is divided into the north exit, the south entrance and the Meguro river.Therefore, if you don't get off after you know your destination, it's a long time to get back from the other side.You can.In addition, there is a small local closed shopping mall on the street of Sinagawa Temple.Personally, it is recommended because there is a commander of Rokumasha, famous for Tsukemen on a 1.5 -minute walk from the north exit.there is.The groove is long but the train is short, so be careful of the stop position.There is a Keikyu EX person right outside of the dog.Since it is 200 yen, if you can afford time and stamina when you go to Haneda Airport, "
1239," Now, the benefits have been reduced because of the slight addition of Haneda Airport.It stops in front of 30m ”, so "
1240," There are lines around 15 and old Tokaido, so there are also vibrant restaurants.This is long/express does not stop, but this is the closest station to the Sinagawa Shrine. "
1241," original, it is a work with the unity of two stations called `` Other Baba '' and `` Nambaba. ''The remnants are very long. "
1242," This station is near the Sinawa Library, Sinagawa Health Center, and Sinagawa Shrine.On the other hand, the very long groove was one of the old drums and southern bars.As a result, there are two tickets to the home of the station.To a long home of 200 meters.It was also covered in the streets, but there are many rich and delicious shops around Sinbaba Station.There is a Shinagawa gentleman of the destination.Without such a warrior, I think there is little chance to use this station.If you think the express has passed...I stopped at home much more.For some reason, the home of Sinbaba Station is about 200 meters, and when each stop of 72 meters of the battlefield stops, it is more than 120 meters.In addition, the distance between the home and the southern exit ticket...About 90 μg, what is the length of what.High -cost stations are going to road and robbery.Why did you get so long?Two stations, which had been around 40 years ago, merged with expensive construction.The position of the pattern is a long station with a groove between the station and the station.Everyone, please be careful not to panic at home when using Sinbaba?/The station is changed to Galari. "
1243," If you can match between them, you can use My Basuke and Super Ricos."
1244," If you have a bicycle or a car, you can shop in your favorite places such as OK, Nishitomo, Yokado, Hana Masa, and ion, and these supermarkets can also be delivered.It is also pleased to be a free shipping for a certain amount of money.Following Daiichi Keihin, the nearby firefighting is noisy). "
1245," I am a very favorite area because I live.Because it is rectified, there is a non -paper (Keikyu EX · Shinbaba) at the end of the opening of the ride.There are: "
1246," If you use a telephoto, it is recommended to appear in advanced in the case of elevators, "
1247,"At best, three people. "
1248,".In addition, since there is a school nearby, it is safe to avoid "
1249," school hours.The number of trains was usually less.Today I realized that there was no toilet paper after using the men's toilet.It cannot be helped inside.There is no button.I was forced to write a solid paper of the room guide received from the real estate in the bag.Even if there is no toilet species in the field of the window, it is said that I knew it in an arrogant attitude without an apology.At least/usually stops.It's a station, but it's relatively empty at any time.Note that there is a distance from the south exit and the branch from the north exit.As soon as you come out of Sinbaba Station, there are Lawson and Seven Eleven, so it's easy to access.The north exit and the south exit are separated.Elevator, escalator.Both of them are attracted tickets.Usually only deposit trains stop.There are many lawmakers and pharmacies, so the shopping streets are leading to Kitashi Nagawa Station and Aomono Yoko.Sinagawa Police Station, Medical Council, and Health Center are also close.In addition to the north exit, you want an elevator and an downhill escalator at the south exit.You can feel the history by walking.Other Guchi has a worship of Sinagawa Shrine, and the restaurant and coffee shop are lined up with a show.Others have nothing special (> _) "
1250,Four of the 12 honors trains are limited .... 
1251, normal trains are rarely missing. 
1252,"The pleasure is accelerated./ The groove is long, but the vehicle is short, so if you are waiting from the end, it is a ride.Place/There are few places to eat. "
1253," Station that teaches local advantages.It should be noted because it is a normal station and is full of hidden scores.Smoking is also a complete smoking cessation!/A nearby Megu is a good feeling.If you sit down, it will shake a lot.The low number of stations is that the fate/grooves of Keikyu are too long, so the distance to the stop and the stairs is far.The poster of the victims of the kidnapper was attached.There aren't many here./ It's pretty good (laughs)."
1254,".It is impressive that the external design is like vegetables.On the other side, it is a station in the middle of the traffic insect on the other side. "
1255, <Geneva Peace Street> 
1256,", a nearby farmers were holding a crop and opening the market.It is called Aomono Yokocho, and it remains in this station.It's also fun to get off the Aomono Yoko Station Bus Stop by Keikyu Bus.Cross the Daiichi Keihin in the sidewalk school and enter the right side.There is a pachinko shop on the way.The approach melody at which the train arrives in this station is all in the life of Shimakura Chiyoko.The pleasure that passes through this station does not run away because of the curve of the previous shark.Go slowly.This is limited.It's easier to understand./In Sinagawa residents, fresh seafood that you know is an ultra -low and hand shop ?? "
1257, really ????It's a surprise price ?? 
1258," second visit: Sinagawa to Haneda's plane (originally I wanted to ride a ""express"", but I made a ""express"" by mistake.) The origin of the name of Yokocho Aomori was named, and at the end of the Edo period, it seems to have come from the opening of a poem with a blue object harvested by farmers on earth.If you go to Toyokoin in the ticket gate, you can get a chain store.It is convenient because there are some restaurants at convenience stores on the premises.It is also good for an ion style Sina Sinagawa, a 7 -minute walk.I enter a small carry case with ""medium"".There is a station seven -een, so we survive."
1259," There is a Mitsui Sumitomo ATM in the station home and Seven -Eleven, so I am close to commuting from school.there is.It may be difficult to catch because there is no taxi platform.The post of the station is also blue.Unlike sharks, the food around the station is faithful./jr Oi Machi Station and Sinagawa Saiid Station.From here you can take a bus to Daiba Station.Very convenient but small station.I changed to Keiku Bus.It takes time than the train, but it was a moody movement./ It is a small and compact station connecting the Keiku Line and this area.It is useful for moving to the airport.However, with this in mind, the entrance to the station from the west side of the road is the second floor and beyond the passage.My partner and I had a travel bag and had a hard time moving it over the stairs.I was convinced that there was an elevator closer to the building, but it was difficult to cross the intersection without a report.If you make a plan in advance, it is not a problem, but if you have a heavy bag, you should be careful.Japan's only station.It is also the closest station of Sinagawaji, 33 Gwaneum, and the surrounding taverns, food, seeds, and shops./It's around the station.I want to walk.One expensive is faithful.Alternative under the high price.The station closest to Sinagawa.Ion Saiide, Konami Headquarters The nearest station/Keihin Tohoku Line, where the Keihin Tohoku Line stops, is a valuable alternative route.Convenience to come out in the direction of Yokohama, ah, Tokyu Oi Machi, but it takes time.O0 ○.The Keikyu Main also stops the express/express.The restaurant, barber, and seven -Eleven are also convenient.Surprisingly unknown access path.There are many restaurants such as Kenta, Moss, Miss, Hidakaya, and Saikya, etc.There is also Jasco within the walking distance. "
1260," The accommodation office was in Oiachi, Kutakuta, so I quit the via Sinagawa, get off the station, and immediately taxi to the hotel of Oiachi.If you are a delicious household nearby, it is used to go to the store.The role of the common people.There are a lot of prices. "
1261," mall is heading for a bra walk.Classic Village ... It is easy to access to Sinagawa Station./Well, in the east side of this station, there is a connection between Gu -Tokaido in the north and south./ There are many restaurants in front of the station.Honorary train stops (laughs).I used.The attitude of the eye is attached to the nose "
1262," within the statue, there are a lot of barrier free facilities such as escalators and toilets.Under the station, there are some Chinese shops and buckwheat shops near Mac and nearby.Although it is a modest station, it is a evacuation station of each station of Keikyu, so relatively trains can ride immediately.There are a few small restaurants in front of the station.The shark's teaching center had a lot of information about entertainers.Once upon a time, it was a fascinating station, as if there was a pachinko shop nearby because the picture of the photographs and documents was crooked.If you walk down the station a little, there was a Sinagawa mall, so there was a meeting of a warm person.It is a station that does not stop expressing the express, but it is a rarely tasted station.It is a distance that can be walked close enough to the nearest station of the driver's license test site without saying it."
1263," From the station where only the train stops, the normal train that came out of Sinagawa Station is the first to evacuate the honors for the first time. "
1264,"It has a unique space you are doing, so you can take or look at the train you pass through.The passing train passes through the outer line, so it is a safe place to pay attention to the ordinary train that enters.I think it's a station.That's why you usually stop quite a bit.The groove is on the second floor and there is an upstream escalator but no downstream escalator.Instead, there is an elevator.There is a toilet near the stairs.It's a lot, but the washlet is helpful.If you exit the ticket gate, there is Otto Kukyu, which sells Keikyu products.In addition, there is an ATM of Yuzo Bank.For the same reason, many people get off, and career guidance is attached to the driver's license test site.There was only one private room in a small station, but I didn't feel uncomfortable because there was little access.There is also an elevator, and the rental cycle is also new.The parking lot and the main field are also nearby.There are only station buildings, and there are few restaurants.There are few stylish shops that women like, such as McDonald's, Jonathan, and Chinese Ramen, and the Italians near the sports park, but the Sunday was crowded./In the old days, I only knew this shark when I was a license center."
1265," because you have a smartphone now, you can catch it right away.In 1904, there is a strong image of the shark driver's license test center.After getting off this way, it's about 8 minutes on foot.Since they stop only each station, local residents go to Yokocho Aomono without time.I was surprised when I was featured in Adga for an hour.There is a car driver's license test.Adult Keikyu is awesome. "
1266," It is fast to just close.Kei Hin Express Fans already know…/It is famous as the closest role of the shark test site that is carrying out a driver's license renewal.????-Y (^.^). O0 ○./Samezu Driving Test Center.However, because only each station stops, the inconvenience/Otto has a Keikyu station.It stops outside, but there is a shark driver's license test center.It is the nearest station of the shark test center. You can go to 5 minutes from here.At 11:30 am on the 10th, the station was quiet enough.The shark is usually a dedicated stop, and basically waits for passing./ The station is clean.Rare areas/driver's license test center/Samus test center where there is nothing around, but this is convenient/All foreigners like me, can you help you pass 100 questions?The toilet feels narrow./"
1267,"When you get out of the exit, the mall is unfolded, and if you go to the left, there is a statue of Sakamoto Ryoma.Like Ryoma, it also showed PR's flags and signs.When you ride at the Sinagawa station and get off at this station, you can enjoy the difference in the atmosphere of the city and the traditional village.The station is small and there is an old shopping mall when you leave the ticket gate.It seems to be the land of Sakamoto Ryoma's ointment.There are facilities of the elevator and escalator, but home doors are not installed as of October 2022.The number of passengers is small and not crowded.There are many common shops in the station, so there are many Tachi Aikawa shopping streets, so you can eat food or shopping.You can walk about 10 minutes to the cucumber racecourse.The reverse number is KK06. "
1268, Home is on top of it. 
1269," There is a restaurant for Cheolwan DASH.It's almost irrelevant, but the toilet is clean. W soba is a shopping street, so it's convenient!Normally, each station is small.Indeed, it is on the river of the enlisted river./In fact, the express stops. "
1270," It is good to put everyday shopping in Omori and Omori.For this reason, it is hard to be lively in the shopping district after the corona.I usually do not stop except the train ./ There is a mood around the show and retro around the station. "
1271," The statue of Sakamoto Ryoma is in front of the station./It's a good place and close to the racetrack/I'm used to go to the cucumber racecourse.It passes ./ Do you use a lot of stations?There is nothing special, but it is very convenient and easy to move.Then go to the land of Ryoma ointment.station.To get to the flea market in the cucumber racecourse, you can walk here and then walk on foot, and the transportation cost is relatively cheap.I don't think it's an attitude toward the customer./ This is a village with the history of the Edo Together, like Sinagawa Kamakuma.When did he have a chance to discuss with Takamori?I don't think it's really strange./I think it's about 25 years. "
1272," due to the influence of typhoons, it has been raining in tremendous momentum since the afternoon, and the quantity of Tachikai rivers in front of the branch's branch has increased intense.Finally, up to 30cm below the embankment.All of the male staff, I wore a kappa to build a toho, preparing for it.The legs that are somewhat downstream have begun to see the water overflowing slightly, but the typhoon has passed and safely out of the egg.It's an interesting street with frostbite ?? "
1273," finally rides a train.I keep in detail/compact, the mall compact, the show.Soon there is a masking Ryoma award by expanding the new corona virus infection.Stop bouncing!/I felt that the number of people living in daily life foods in the shopping mall is decreasing. "
1274, is not good but lonely.There is no vibrant at all. 
1275,"It is parallel to Daiichi Keihin (National Route 15), and it is a high -end station where only the train stops.JR Omori Station is about 700 meters and less than 10 minutes on foot.(It is about 7-8 minutes on foot) It is also the closest station of Sinagawa Aquarium.※ Please be careful of the home as a speed of the traffic, please be careful."
1276,"There are also large stores such as Kado, so it is easy to live.no see.JR Omori Station is also available for about 10 minutes.In front of the station with Daiichi Keihin, the station is narrow.Sinagawa Aquarium and Suzuga Mori Market.There are one large supermarket near the nearby, and there is a JR Omori station about 700m west.As of September 2022, as of September 2022, the home door is not installed on the platform, so the train waiting needs to be careful for passing trains.Elevators and escalators are installed./ Simple and easy to use stations.Sinagawa Aquarium is a 8 -minute walk.Access to Haneda Airport is also good/I used it as a business trip to the head office.There's a short elevator in the middle floor, so it's a kind design. "
1277," And it will be clean even if you can leave the station..It is rarely used because it is uncomfortable without stopping each station, but if you go to Takashimaya, you can even investigate the time to the next Tachi Kaigawa station to Inba Japan and go to Nihonbashi with one!However, since the underground passage is long, I am happy to walk to Omori by walking to Tokyo Station.The station itself is also clean.Many business hotels.Once Hachiman Station.Hachiman → Coast → Omori coast and station name changed.At one time, the branch was branching from this station to Omori, but now it is not at all.It is also a coast, but the sea is also reclaimed. "
1278, There is a Love Lake near the station.This is the station of the Keikyu Main Line located at the price.It only stops the normal train (each station) of the operating train. 
1279,". In the 10 -gu (anchor) of Hakone's reversal of New Year's Day every year, the number of students who runs through National Route 15 (Daiichi Kehin) near Dang Station is a lot of students.can.Especially on January 2, 8 am and around 1 pm, there are a lot of cheering customers.There is an elevator for the disabled, and there is an Omori guitar park near each station.In many areas, there are many dangerous driving by the person.In addition, bicycles and walking are all many smoking smoking, so they can see the smoking of private lands.It is better to stop living around the line or around.It is not recommended for safety, health, and education.The branch line to Omori station was diverged until it was stretched.It is only a maximal to stop.Express is transferred from the neighboring peace.There is a business hotel with super and love.The regular shops of the reverse window are overflowing with Keikyu products, and the station is sitting cozy.If you go to the airport, you will go to the Tachi Kai River in front of you.In the morning, there is a commuter visitors to Omori Belport, but it is not so crowded.I always use it when I go to the an aquarium. "
1280, is the best place for shooting ★ 5/Heywajima is a familiar station. 
